"country","iso3","year","region","population","production_co2","consumption_co2","net_embodied_carbon","production_co2_per_capita","consumption_co2_per_capita","net_embodied_carbon_per_capita","responsibility_type","longitude","latitude","iso_num"
"Austria","AUT","2003","Europe","8122604","0.077","0.1","0.023","9.53","12.3","2.77","net_importer","14","47","040"
"Bangladesh","BGD","2003","Asia","140970355","0.033","0.035","0.002","0.24","0.25","0.01","balanced","90","24","050"
"Belgium","BEL","2003","Europe","10376262","0.128","0.202","0.074","12.36","19.49","7.13","net_importer","4","51","056"
"Brazil","BRA","2003","South America","180622688","0.345","0.323","-0.022","1.91","1.79","-0.12","balanced","-52","-10","076"
"Canada","CAN","2003","North America","31836483","0.581","0.586","0.005","18.26","18.4","0.14","balanced","-106","56","124"
"Chile","CHL","2003","South America","16024755","0.055","0.055","0","3.44","3.43","-0.01","balanced","-71","-30","152"
"China","CHN","2003","Asia","1294517323","4.835","4.02","-0.815","3.74","3.11","-0.63","net_exporter","104","35","156"
"Czechia","CZE","2003","Europe","10248907","0.128","0.122","-0.006","12.45","11.92","-0.53","net_exporter","16","49","203"
"Denmark","DNK","2003","Europe","5390621","0.061","0.068","0.007","11.25","12.58","1.33","net_importer","10","56","208"
"Egypt","EGY","2003","Africa","77853548","0.15","0.137","-0.013","1.93","1.76","-0.17","balanced","30","27","818"
"Finland","FIN","2003","Europe","5212958","0.073","0.091","0.018","13.94","17.46","3.52","net_importer","26","64","246"
"France","FRA","2003","Europe","60741119","0.413","0.516","0.103","6.8","8.5","1.7","net_importer","2","46","250"
"Germany","DEU","2003","Europe","82111619","0.895","1.056","0.161","10.89","12.86","1.97","net_importer","10","51","276"
"Greece","GRC","2003","Europe","10918467","0.109","0.124","0.015","9.99","11.36","1.37","net_importer","22","39","300"
"Hungary","HUN","2003","Europe","10108970","0.062","0.086","0.024","6.09","8.55","2.46","net_importer","20","47","348"
"India","IND","2003","Asia","1116803000","1.068","0.985","-0.083","0.96","0.88","-0.08","balanced","78","22","356"
"Indonesia","IDN","2003","Asia","225048005","0.339","0.312","-0.027","1.51","1.39","-0.12","balanced","113","-2","360"
"Iran","IRN","2003","Middle East","68769343","0.411","0.36","-0.051","5.98","5.24","-0.74","net_exporter","53","32","364"
"Ireland","IRL","2003","Europe","3992935","0.046","0.065","0.019","11.44","16.23","4.79","net_importer","-8","53","372"
"Israel","ISR","2003","Middle East","6502821","0.062","0.077","0.015","9.6","11.85","2.25","net_importer","35","31","376"
"Italy","ITA","2003","Europe","57739697","0.495","0.592","0.097","8.57","10.25","1.68","net_importer","12","43","380"
